date,value
2020-03-19,1
2020-03-20,2
2020-03-21,2
2020-03-22,3
2020-03-23,4
2020-03-24,5
2020-03-25,6
2020-03-26,8
2020-03-27,12
2020-03-28,16
2020-03-29,20
2020-03-30,28
2020-03-31,29
2020-04-01,37
2020-04-02,50
2020-04-03,60
2020-04-04,79
2020-04-05,94
2020-04-06,125
2020-04-07,141
2020-04-08,174
2020-04-09,194
2020-04-10,233
2020-04-11,273
2020-04-12,296
2020-04-13,332
2020-04-14,406
2020-04-15,449
2020-04-16,486
2020-04-17,546
2020-04-18,650
2020-04-19,686
2020-04-20,712
2020-04-21,857
2020-04-22,970
2020-04-23,1069
2020-04-24,1221
2020-04-25,1305
2020-04-26,1351
2020-04-27,1434
2020-04-28,1569
2020-04-29,1732
2020-04-30,1859
2020-05-01,1972
2020-05-02,2061
2020-05-03,2154
2020-05-04,2271
2020-05-05,2507
2020-05-06,2704
2020-05-07,2961
2020-05-08,3160
2020-05-09,3353
2020-05-10,3465
2020-05-11,3573
2020-05-12,3926
2020-05-13,4220
2020-05-14,4477
2020-05-15,4767
2020-05-16,5045
2020-05-17,5177
2020-05-18,5332
2020-05-19,5666
2020-05-20,6090
2020-05-21,6510
2020-05-22,6989
2020-05-23,7179
2020-05-24,7394
2020-05-25,7633
2020-05-26,8134
2020-05-27,8597
2020-05-28,9044
2020-05-29,9415
2020-05-30,9779
2020-05-31,9930
2020-06-01,10167
2020-06-02,10637
2020-06-03,11729
2020-06-04,12545
2020-06-05,13170
2020-06-06,13511
2020-06-07,13699
2020-06-08,14053
2020-06-09,14649
2020-06-10,15357
2020-06-11,15944
2020-06-12,16448
2020-06-13,16872
2020-06-14,17141
2020-06-15,17580
2020-06-16,18310
2020-06-17,19080
2020-06-18,19747
2020-06-19,20394
2020-06-20,20781
2020-06-21,21825
2020-06-22,22584
2020-06-23,23377
2020-06-24,24324
2020-06-25,25060
2020-06-26,25779
2020-06-27,26381
2020-06-28,26648
2020-06-29,27121
2020-06-30,27769
2020-07-01,28510
2020-07-02,29189
2020-07-03,29843
2020-07-04,30366
2020-07-05,30639
2020-07-06,31119
2020-07-07,32014
2020-07-08,32796
2020-07-09,33526
2020-07-10,34191
2020-07-11,34730
2020-07-12,35006
2020-07-13,35491
2020-07-14,36327
2020-07-15,36906
2020-07-16,37574
2020-07-17,38310
2020-07-18,38888
2020-07-19,39184
2020-07-20,39485
2020-07-21,40400
2020-07-22,41190
2020-07-23,41908
2020-07-24,42645
2020-07-25,43374
2020-07-26,43680
2020-07-27,44022
2020-07-28,44876
2020-07-29,45361
2020-07-30,46000
2020-07-31,46688
2020-08-01,47472
2020-08-02,47746
2020-08-03,48012
2020-08-04,48869
2020-08-05,49698
2020-08-06,50517
2020-08-07,51311
2020-08-08,52006
2020-08-09,52298
2020-08-10,53003
2020-08-11,53929
2020-08-12,54666
2020-08-13,55293
2020-08-14,55908
2020-08-15,56543
2020-08-16,56757
2020-08-17,57023
2020-08-18,57774
2020-08-19,58481
2020-08-20,59106
2020-08-21,59610
2020-08-22,60254
2020-08-23,60480
2020-08-24,60800
2020-08-25,61450
2020-08-26,62076
2020-08-27,62594
2020-08-28,63146
2020-08-29,63819
2020-08-30,64158
2020-08-31,64414
2020-09-01,65241
2020-09-02,65816
2020-09-03,66329
2020-09-04,66851
2020-09-05,67326
2020-09-06,67558
2020-09-07,67781
2020-09-08,68484
2020-09-09,69049
2020-09-10,69649
2020-09-11,70183
2020-09-12,70604
2020-09-13,70821
2020-09-14,71049
2020-09-15,71678
2020-09-16,71978
2020-09-17,72179
2020-09-18,72803
2020-09-19,73258
2020-09-20,73493
2020-09-21,73697
2020-09-22,74348
2020-09-23,74949
2020-09-24,75439
2020-09-25,75844
2020-09-26,76243
2020-09-27,76430
2020-09-28,76603
2020-09-29,77163
2020-09-30,77646
2020-10-01,78078
2020-10-02,78492
2020-10-03,78880
2020-10-04,79088
2020-10-05,81877
2020-10-06,82348
2020-10-07,82726
2020-10-08,83096
2020-10-09,83497
2020-10-10,83642
2020-10-11,83781
2020-10-12,83945
2020-10-13,84420
2020-10-14,84898
2020-10-15,85285
2020-10-16,85704
2020-10-17,86059
2020-10-18,86167
2020-10-19,86338
2020-10-20,86893
2020-10-21,87415
2020-10-22,87415
2020-10-23,88312
2020-10-24,88743
2020-10-25,88924
2020-10-26,89171
2020-10-27,89814
2020-10-28,90309
2020-10-29,90773
2020-10-30,91289
2020-10-31,91753
2020-11-01,91895
2020-11-02,92100
2020-11-03,92593
2020-11-04,93228
2020-11-05,93772
2020-11-06,94323
2020-11-07,94808
2020-11-08,95027
2020-11-09,95225
2020-11-10,95842
2020-11-11,96430
2020-11-12,97056
2020-11-13,97624
2020-11-14,98259
2020-11-15,98542
2020-11-16,98861
2020-11-17,99026
2020-11-18,99528
2020-11-19,100104
2020-11-20,100823
2020-11-21,101373
2020-11-22,101676
2020-11-23,101926
2020-11-24,102739
2020-11-25,103597
2020-11-26,104242
2020-11-27,104873
2020-11-28,105459
2020-11-29,105655
2020-11-30,105940
2020-12-01,106765
2020-12-02,107565
2020-12-03,108173
2020-12-04,108863
2020-12-05,109456
2020-12-06,109717
2020-12-07,110074
2020-12-08,110874
2020-12-09,111655
2020-12-10,112326
2020-12-11,113019
2020-12-12,113704
2020-12-13,113953
2020-12-14,114298
2020-12-15,115099
2020-12-16,115769
2020-12-17,116487
2020-12-18,117249
2020-12-19,117876
2020-12-20,118202
2020-12-21,118598
2020-12-22,119495
2020-12-23,120311
2020-12-24,121172
2020-12-25,121837
2020-12-26,122026
2020-12-27,122426
2020-12-28,122855
2020-12-29,123845
2020-12-30,124897
2020-12-31,125807
2021-01-01,126507
2021-01-02,126851
2021-01-03,127213
2021-01-04,127757
2021-01-05,128822
2021-01-06,129987
2021-01-07,131031
2021-01-08,132069
2021-01-09,133204
2021-01-10,133706
2021-01-11,134368
2021-01-12,135682
2021-01-13,136917
2021-01-14,137916
2021-01-15,139022
